island,島,"an <font color=""#FFC000"">island</font> nation<br><br><div style=""height: 140px; overflow: auto;"">「島」「孤立したもの」。外来形容詞としてはinsular（島の）。前置詞はinを用いるが小さな島の場合にはonも可。</div><br><br>類義語 : <br>反意語 : <br>参考 : 【形】insular（島国の）"
ship,船,"He once went to America by <font color=""#FFC000"">ship</font>.<br><br><div style=""height: 140px; overflow: auto;"">ふつう航海や輸送用の大型船のことをいう。boatよりも大きく，vesselよりも小さい。</div><br><br>類義語 : <br>反意語 : <br>参考 : "
guide,案内者,"The <font color=""#FFC000"">guide</font> was asked to guide an American couple around Kyoto.<br><br><div style=""height: 140px; overflow: auto;"">同じつづりで動詞「案内する，指導する」の意味もある。</div><br><br>類義語 : <br>反意語 : <br>参考 : 【名】guidance（案内, 指導）"
dry,乾く,"wait for the paint to <font color=""#FFC000"">dry</font><br><br><div style=""height: 140px; overflow: auto;"">「乾いた、潤いのない」が本義。そこから「冷淡な、温かみのない」という意味に発展。</div><br><br>類義語 : <br>反意語 : wet(湿った)<br>参考 : "
address,住所,"Give your name and <font color=""#FFC000"">address</font>, will you?<br><br><div style=""height: 140px; overflow: auto;"">～に(ad)言葉を向ける(dress)という意味から「演説」「手紙のあて先」「住所」の意。<br>名詞と動詞ではアクセントの位置が違うことに注意。</div><br><br>類義語 : <br>反意語 : <br>参考 : "
map,地図,"a street <font color=""#FFC000"">map</font><br><br><div style=""height: 140px; overflow: auto;"">地図全般を表す。地図帳はatlas,海図はchartと区別する。</div><br><br>類義語 : atlas（地図帳）<br>反意語 : <br>参考 : "
bank,銀行,"a blood <font color=""#FFC000"">bank</font><br><br><div style=""height: 140px; overflow: auto;"">the Bankと表記するとイングランド銀行を指す。</div><br><br>類義語 : <br>反意語 : <br>参考 : 【名】banker（銀行家）"
round,～の周りに,"walk <font color=""#FFC000"">round</font> the store<font color=""#FFC000""> </font><br><br><div style=""height: 140px; overflow: auto;"">アメリカではaround,イギリスではroundが好まれる。</div><br><br>類義語 : <br>反意語 : <br>参考 : "
marry,（…と）結婚する,"get <font color=""#FFC000"">married</font> to her<br><br><div style=""height: 140px; overflow: auto;"">原義は「めとる」。自動詞と他動詞の両方の用法がある。<br>「～と結婚する」というときの前置詞はtoが最も一般的。</div><br><br>類義語 : <br>反意語 : divorce（離婚する）<br>参考 : 【名】marriage（結婚）"
judge,裁判官,"the chief <font color=""#FFC000"">judge</font><br><br><div style=""height: 140px; overflow: auto;"">原義は「正しいことを言う人」。<br>「～を裁判する」「～を評価する」といった意味の動詞としても用いられる。</div><br><br>類義語 : <br>反意語 : <br>参考 : 【名】judg(e)ment（裁判；判決；判断）"
